Ref,Val,Package,PosX,PosY,Rot,Side
"J1","9V Battery","BatteryHolder_MPD_BA9VPC_1xPP3",113.730000,-91.510000,0.000000,bottom
"C1","10μF","CP_Elec_4x5.8",140.640000,-89.580000,-90.000000,top
"C2","10μF","CP_Elec_4x5.8",149.040000,-78.790000,0.000000,top
"C5","4.7μF","C_0805_2012Metric",154.480000,-105.560000,-90.000000,top
"C_BYP1","0.1μF","C_0603_1608Metric",142.650000,-101.760000,180.000000,top
"C_BYP2","0.1μF","C_0603_1608Metric",151.725000,-101.670000,0.000000,top
"C_BYP3","0.1μF","C_0603_1608Metric",129.760000,-85.600000,-90.000000,top
"C_BYP4","0.1μF","C_0603_1608Metric",141.210000,-81.585000,-90.000000,top
"D1","ESD9C5.0ST5G","D_SOD-923",126.787500,-83.450000,-90.000000,top
"D2","D_Schottky_Small","D_SOD-323",117.710000,-108.537500,90.000000,top
"D3","D_Schottky_Small","D_SOD-323",114.142500,-106.897500,90.000000,top
"D4","D_Schottky_Small","D_SOD-323",121.140000,-109.930000,90.000000,top
"D5","D_Schottky_Small","D_SOD-323",124.220000,-116.407500,90.000000,top
"D6","D_Schottky_Small","D_SOD-323",136.480000,-113.797500,90.000000,top
"D7","D_Schottky_Small","D_SOD-323",148.440000,-110.197500,90.000000,top
"D8","1N5817","D_SOD-123",121.940000,-85.342500,-90.000000,top
"IC1","TL072HIPWR","SOP65P640X120-8N",145.030000,-104.960000,0.000000,top
"J2","DUT","PinSocket_1x03_P2.54mm_Vertical",165.080000,-114.940000,180.000000,top
"R1","10kΩ","R_0603_1608Metric",144.820000,-107.950000,180.000000,top
"R2","20kΩ","R_0603_1608Metric",139.820000,-104.550000,90.000000,top
"R3","1kΩ","R_0603_1608Metric",150.940000,-106.190000,-90.000000,top
"R4","7.5kΩ","R_0603_1608Metric",117.730000,-112.920000,90.000000,top
"R5","3.3kΩ","R_0603_1608Metric",114.130000,-110.845000,90.000000,top
"R6","1.8kΩ","R_0603_1608Metric",121.070000,-114.100000,90.000000,top
"R7","1kΩ","R_0603_1608Metric",127.680000,-117.590000,180.000000,top
"R8","560Ω","R_0603_1608Metric",134.700000,-117.660000,0.000000,top
"R9","1.2kΩ","R_0603_1608Metric",139.180000,-117.630000,180.000000,top
"R10","1kΩ","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",148.910000,-114.520000,0.000000,top
"TP1","TestPoint","TestPoint_Loop_D2.50mm_Drill1.0mm_LowProfile",126.810000,-79.670000,0.000000,top
"TP2","TestPoint","TestPoint_Loop_D2.50mm_Drill1.0mm_LowProfile",138.720000,-77.750000,0.000000,top
"TP3","TestPoint","TestPoint_Loop_D2.50mm_Drill1.0mm_LowProfile",155.820000,-80.560000,0.000000,top
"TP4","TestPoint","TestPoint_Loop_D2.50mm_Drill1.0mm_LowProfile",149.170000,-93.010000,0.000000,top
"TP5","TestPoint","TestPoint_Loop_D2.50mm_Drill1.0mm_LowProfile",159.510000,-109.410000,0.000000,top
"TP6","TestPoint","TestPoint_Loop_D2.50mm_Drill1.0mm_LowProfile",159.510000,-104.960000,0.000000,top
"TP7","TestPoint","TestPoint_Loop_D2.50mm_Drill1.0mm_LowProfile",114.100000,-115.390000,0.000000,top
"TP8","TestPoint","TestPoint_Loop_D2.50mm_Drill1.0mm_LowProfile",132.790000,-73.840000,0.000000,top
"TP9","TestPoint","TestPoint_Loop_D2.50mm_Drill1.0mm_LowProfile",164.990000,-105.770000,0.000000,top
"U1","HT7333","IC_HT7333",133.997500,-83.670000,90.000000,top
"U2","ICL7660","SOIC8_4X5_INR",148.334150,-86.385000,0.000000,top
"U3","CD4017BM96","D16",129.277800,-109.385000,0.000000,top
